Stock,B&H,S&H,TF,MR,TDQN
Dow Jones,0.684,-0.636,-0.325,-0.214,0.684
S&P 500,0.834,-0.833,-0.309,-0.376,0.834
NASDAQ 100,0.845,-0.806,-0.264,-0.06,0.845
FTSE 100,0.088,0.026,-0.404,-0.03,0.103
Nikkei 225,0.128,-0.025,-1.649,0.418,0.019
Google,0.57,-0.37,0.125,0.555,0.227
Apple,1.239,-1.593,1.178,-0.609,1.424
Facebook,0.371,-0.078,0.248,-0.168,0.151
Amazon,0.559,-0.187,0.161,-1.193,0.419
Microsoft,1.364,-1.39,-0.041,-0.416,0.987
Twitter,0.189,0.314,-0.271,-0.422,0.238
Nokia,-0.408,0.565,1.088,1.314,-0.094
Philips,1.062,-0.672,-0.167,-0.599,0.675
Siemens,0.399,-0.265,0.525,0.526,0.426
Baidu,-0.699,0.866,-1.209,0.167,0.08
Alibaba,0.357,-0.139,-0.068,0.293,0.021
Tencent,-0.013,0.309,0.179,-0.466,-0.198
Sony,0.794,-0.655,-0.352,0.415,0.424
JPMorgan Chase,0.713,-0.743,-1.325,-0.004,0.722
HSBC,-0.518,0.725,-1.061,0.447,0.011
CCB,0.026,0.165,-1.163,-0.388,0.202
ExxonMobil,0.055,0.132,-0.386,-0.673,0.098
Shell,0.488,-0.238,-0.043,0.742,0.425
PetroChina,-0.376,0.514,-0.821,-0.238,0.156
Tesla,0.508,-0.154,-0.987,0.358,0.621
Volkswagen,0.384,-0.208,-0.361,0.601,0.216
Toyota,0.352,-0.242,-1.108,-0.378,0.304
Coca Cola,1.031,-0.871,-0.236,-0.394,1.068
AB InBev,-0.058,0.275,0.036,-1.313,0.187
Kirin,0.106,0.156,-1.441,0.313,0.852
Average,0.369,-0.202,-0.331,-0.056,0.404
